Pentad,minT,ap_rat
2300_2950,6.099999999999998,0.38688209652900696
2300_2945,5.900000000000004,0.33978721499443043
2300_2955,6.400000000000004,0.4124430418014524
2335_2920,4.2999999999999785,0.32275649905204784
2330_2915,4.399999999999993,0.3105173707008362
2345_2910,4,0.3151943981647489
2350_2920,4.100000000000001,0.3149847984313965
2355_2925,3.699999999999995,0.3415278196334839
2350_2925,4.100000000000004,0.3241342604160309
2345_2915,4.100000000000004,0.31421875953674316
2355_2915,3.8000000000000025,0.3326590061187744
2345_2925,4.299999999999996,0.31542161107063293
2355_2920,3.899999999999998,0.3256834149360656
2345_2920,4.100000000000004,0.31498479843139643
2350_2915,3.899999999999999,0.32513947784900665
2340_2955,5.5,0.4991336464881897
2350_2940,3.499999999999998,0.4242398738861084
2355_2930,3.5000000000000004,0.3691267669200897
2345_2940,3.900000000000001,0.42969587445259094
2350_2930,3.699999999999995,0.3654052615165711
2345_2950,3.2000000000000006,0.5470213294029236
2355_2955,2.600000000000002,0.6467093825340272
2345_2955,3.2999999999999976,0.6488350033760069
2350_2950,2.8000000000000056,0.6029446721076965
2350_2945,3.1999999999999957,0.4552038609981537
2355_2950,2.7,0.5618754625320435
2305_3000,7.499999999999999,0.4349299967288971
2305_3010,8.899999999999995,0.4555448591709137
2305_3005,8,0.4647351205348967
2300_3000,7.100000000000001,0.4468460381031037
2300_3015,9.1,0.4765661656856537
2300_3025,10.200000000000006,0.4053170680999756
2300_3030,10.299999999999995,0.4149154722690583
2335_3010,6.900000000000001,0.45997434854507446
2340_3015,7.300000000000001,0.36390985548496246
2355_3010,6.899999999999998,0.3910125195980072
2350_3010,6.700000000000004,0.4175189733505249
2355_3000,3.600000000000001,0.5809764266014099
2345_3005,6.299999999999989,0.43134322762489313
2350_3005,6.000000000000002,0.4488071501255036
2345_3010,6.699999999999998,0.3846532702445984
2355_3005,5.200000000000001,0.5404857993125916
2345_3020,7.400000000000002,0.32402968406677246
2350_3015,7.299999999999974,0.3364494740962982
2350_3025,7.3,0.3208470642566681
2345_3025,7.499999999999992,0.2984892427921295
2350_3020,7.299999999999994,0.32480545341968536
2345_3015,7.199999999999996,0.36272284388542175
2340_3035,8,0.2828209400177002
2335_3040,8.5,0.27423125505447377
2340_3030,7.700000000000022,0.2877635657787323
2340_3045,8.599999999999993,0.2759031355381012
2355_3030,7.299999999999992,0.3609341382980346
2355_3040,8.100000000000016,0.30495226383209234
2355_3035,7.700000000000013,0.32157838344573975
2300_3125,8.499999999999998,0.24096505343914035
2300_3115,8.799999999999994,0.2558967173099518
2315_3100,9.099999999999993,0.3061507046222687
2320_3100,9,0.29164767265319824
2325_3125,8.5,0.27083897590637207
2320_3125,8.4,0.2654697597026825
2320_3120,8.5,0.2772637903690338
2325_3120,8.5,0.27083897590637207
2320_3115,8.6,0.2820347547531128
2310_3130,8.3,0.23284828662872312
2325_3130,8.4,0.2648719549179077
2315_3130,8.4,0.24886582791805267
2320_3130,8.4,0.256432443857193
2355_3105,9.400000000000004,0.2913493812084198
2355_3100,9.200000000000012,0.29134938120841974
2355_3110,9.299999999999995,0.2947632074356081
2350_3125,8.5,0.28051608800888067
2345_3125,8.5,0.2694121599197387
2345_3115,8.90000000000002,0.27217739820480347
2330_3130,8.4,0.2676849365234375
2335_3135,8.29999999999998,0.26861757040023804
2340_3140,8.3,0.2880801260471344
2330_3135,8.4,0.28227856755256653
2345_3130,8.200000000000008,0.24749259650707245
2350_3130,8.2000000000000135,0.2630026936531067
2345_3140,8.3,0.2961987853050232
2355_3150,8.3,0.2696321904659271
2355_3145,8.200000000000017,0.2705097198486329
2450_2005,0.9,0.12254287302494048
2445_2550,2.9000000000000004,0.2145887017250061
2440_2605,3.1,0.24125650525093079
2440_2610,3.2,0.24935875833034513
2440_2625,3.7,0.2536115348339081
2440_2615,3.3000000000000016,0.2538449168205261
2435_2620,3.5,0.2423996180295944
2440_2620,3.5,0.2536115348339081
2445_2610,2.900000000000001,0.2499233782291413
2450_2615,3.3000000000000016,0.2501245439052582
2450_2620,3.499999999999997,0.25214040279388444
2450_2625,3.700000000000002,0.25641414523124695
2455_2625,3.700000000000004,0.2592572569847107
2445_2615,3.1000000000000028,0.2547229528427124
2445_2620,3.400000000000001,0.25678783655166626
2445_2625,3.700000000000002,0.2575322687625885
2425_2710,4.6000000000000005,0.27550995349884033
2420_2705,4.5,0.2661318480968475
2400_2740,2.8999999999999972,0.26587921380996704
2410_2755,1.3000000000000027,0.2971478998661041
2405_2755,1.4000000000000004,0.3013363480567932
2405_2750,1.7999999999999987,0.28372079133987427
2405_2745,2.4000000000000035,0.2679195702075958
2425_2735,1.4999999999999998,0.3656544089317322
2415_2730,3.599999999999998,0.2815411388874054
2420_2730,3.5999999999999996,0.30960786342620844
2425_2730,2.8999999999999995,0.3125949501991272
2420_2735,2.5,0.33764252066612244
2415_2735,2.5999999999999988,0.30209973454475403
2420_2745,1.5999999999999983,0.3553631901741028
2425_2750,1.6000000000000003,0.34588441252708435
2415_2745,1.699999999999997,0.32827237248420715
2430_2710,4.800000000000001,0.2778322100639343
2430_2705,4.600000000000004,0.27790179848670943
2440_2715,4.599999999999995,0.290673553943634
2430_2720,3.899999999999999,0.3182079792022705
2440_2725,4.6000000000000005,0.28312426805496216
2440_2720,4.7,0.28682857751846313
2435_2715,4.699999999999996,0.2942611873149872
2430_2715,4.700000000000008,0.2943725287914275
2430_2725,4.399999999999999,0.2972559332847595
2435_2720,4.6999999999999975,0.30093085765838623
2435_2725,4.400000000000002,0.30093085765838623
2455_2710,4.1000000000000005,0.3162461817264557
2455_2705,4.1000000000000005,0.30134117603302
2455_2700,4,0.3021678328514099
2450_2705,4.100000000000009,0.309702694416046
2450_2700,3.899999999999998,0.31576481461524963
2445_2725,4.499999999999997,0.2846236526966095
2455_2715,4,0.3181180953979492
2445_2715,4.4999999999999964,0.3008821904659271
2450_2715,4.300000000000002,0.30749446153640747
2445_2720,4.499999999999998,0.3034045696258545
2435_2735,4,0.2911912500858307
2440_2750,2.6999999999999966,0.3099816143512726
2440_2755,2.400000000000002,0.3082925081253052
2430_2755,2,0.3277354836463928
2445_2735,2.4999999999999996,0.34003621339797974
2445_2740,3,0.33062028884887695
2455_2730,4,0.29264989495277405
2455_2740,3.4000000000000004,0.3025752604007721
2445_2755,2.5000000000000004,0.3124938905239105
2455_2755,3.1,0.2923452854156494
2450_2750,2.899999999999991,0.3098295032978058
2455_2750,3.1000000000000054,0.3009532690048218
2450_2745,2.7999999999999985,0.3335369825363159
2450_2755,2.900000000000001,0.3013390898704529
2445_2750,2.699999999999995,0.32224658131599426
2410_2800,1.1999999999999982,0.2971478998661042
2405_2800,1.3,0.2999231815338135
2405_2820,2.0999999999999988,0.33412280678749084
2400_2825,2.6999999999999966,0.3065105974674225
2400_2820,2.4000000000000035,0.30933114886283875
2425_2805,1.8000000000000045,0.31192994117736816
2420_2800,1.3999999999999997,0.33271819353103627
2420_2805,1.5999999999999983,0.3085818886756897
2415_2805,1.400000000000002,0.30690792202949524
2425_2800,1.699999999999997,0.3083850464240221
2420_2810,1.5999999999999992,0.33124426007270813
2420_2820,1.5999999999999996,0.33876267075538635
2425_2820,1.8,0.33876267075538635
2405_2830,2.6000000000000005,0.3231543004512787
2405_2835,2.8999999999999995,0.31830731034278875
2410_2835,2.2000000000000015,0.35060349106788635
2410_2855,4.799999999999997,0.2700597047805786
2425_2830,2.3000000000000007,0.31924131512641907
2425_2840,3.5,0.28426432609558105
2415_2840,3.4,0.29778409004211426
