species,lambda_mean,lambda_0.05,lambda_0.95,lambda_category,z_score,occ_est,occ_CI_0.05,occ_CI_0.95,wc_response,outcome,col_est,col_CI_0.05,col_CI_0.95,ext_est,ext_CI_0.05,ext_CI_0.95
600,1.013842732288496,1.0099316467157904,1.0177538178612016,increasing,-1.764810164319182,1.00160123765564,0.5674685036903553,1.4357339716209248,positive,winner,-1.8147182621794664,-2.4092911907204484,-1.2201453336384844,75.43656484128802,-164.3142788113807,315.1874084939567
601,0.852904951044873,0.8271666145578678,0.8786432875318781,decreasing,6.174698221405656,2.301776437930088,1.4105365414026654,3.1930163344575107,positive,indifferent,0.8553129192554791,0.25468769085378373,1.4559381476571747,0.9349267110305728,0.778636251029625,1.0912171710315206
618,0.9761888742391172,0.9706533822514202,0.9817243662268141,decreasing,0.10309381487139649,0.1887325887971714,-0.06544970170956918,0.44291487930391193,neutral,indifferent,0.7040866400012438,0.5243293878348674,0.8838438921676202,-0.17031731581970533,-0.40915691240122576,0.06852228076181513
619,0.9708600396616501,0.9600019733785413,0.981718105944759,decreasing,2.8656710910032803,-3.6335889040066482,-4.595012293742592,-2.672165514270705,negative,loser,-2.7400103781630065,-3.3329294398014193,-2.1470913165245937,-1.0544376969701132,-1.8280477014789436,-0.28082769246128303
621,1.0012402127647795,0.996599024798406,1.005881400731153,stable,6.359658711870576,-1.558052821370189,-1.8790525552636403,-1.2370530874767376,negative,indifferent,-0.17525656914168736,-0.33750060671918486,-0.013012531564189855,-1.0792391557912782,-1.2948067340071552,-0.8636715775754011
622,0.9992063520252009,0.9952674460675872,1.0031452579828146,stable,1.9759186762397514,0.6740171797399359,0.42956791356633584,0.918466445913536,positive,indifferent,0.7846692788786427,0.6599121505827306,0.9094264071745548,-0.2718711937929235,-0.3840166325899252,-0.15972575499592184
625,0.9761517360324591,0.9677899420084102,0.984513530056508,decreasing,1.337624073441795,-0.9098676161702275,-1.3268028334518571,-0.49293239888859786,negative,loser,1.964157733628104,1.6950284016235373,2.2332870656326707,1.0340560939168977,0.7687504543972097,1.2993617334365857
627,0.9918953922156466,0.9897232331394703,0.9940675512918229,decreasing,1.0366899047562255,0.018272460045125512,-0.42035157815930474,0.45689649824955575,neutral,indifferent,2.8389792180181863,2.5027323068834164,3.175226129152956,0.07834827592562166,-0.1719618183281293,0.3286583701793726
629,0.9717180935038356,0.9643461754293465,0.9790900115783248,decreasing,-22.44895172445131,-0.9434981777600238,-1.3532660276617354,-0.5337303278583121,negative,loser,0.5123404518260172,0.41681463053570167,0.6078662731163327,0.40134443435303896,0.29744455879532306,0.5052443099107549
630,0.9583727384942939,0.9385575123513284,0.9781879646372594,decreasing,-8.599366118512158,-1.7455918163783215,-2.3080739094360725,-1.1831097233205705,negative,loser,-0.9450336293285289,-1.0889152299881226,-0.8011520286689351,-1.0186276652060147,-1.2504414182779464,-0.7868139121340829
631,0.9542056632702497,0.9489881243701228,0.9594232021703766,decreasing,-13.506824735135435,-1.0565438223445347,-1.6714720728090817,-0.4416155718799877,negative,loser,0.4296836607691825,0.2303327631335206,0.6290345584048445,0.4933906429852147,0.25822906751498165,0.7285522184554477
